分段号,齐套优先级,零件数,首件到齐套区,齐套完成,齐套跨度(min)
AP2,1,123,36.60802714411302,840.7854626555436,804.1774355114305
AP2,2,54,376.89610903487613,1156.679767112403,779.7836580775268
AP2,3,35,213.12302576926274,860.7241764830161,647.6011507137533
AP2,4,19,81.29635433191426,365.5157617207964,284.21940738888213
AP2,5,60,536.8034197622842,1084.4541044358398,547.6506846735556
BN1,1,59,2173.0336946011694,3771.617883676287,1598.5841890751176
BN1,2,39,2173.0336946011694,3082.017180591843,908.9834859906737
BN1,3,20,2173.0336946011694,3231.223480340804,1058.1897857396348
BN1,4,24,3185.042719218267,3327.358117052632,142.31539783436529
BN1,5,14,3270.7952268313147,3332.8597610294323,62.0645341981176
BN1,6,72,2223.01953874626,3468.565239949391,1245.545701203131
BN1,7,53,2414.268954003946,3487.034830164584,1072.765876160638
BN1,8,23,2707.475245683158,3493.2111491001856,785.7359034170277
BN1,9,32,2513.790194003946,3501.561719944311,987.7715259403649
DC12,1,32,1588.5849397067445,1900.167428177615,311.58248847087043
DC12,2,51,1696.9181863077972,1959.1872396422891,262.2690533344919
DC12,3,44,1776.482591693932,2015.757438066887,239.27484637295515
DC12,4,21,1816.57953756052,2140.9408698684124,324.3613323078923
STA238FC,1,56,1138.0802814187073,1365.489789643016,227.40950822430864
STA238FC,2,36,1380.1734826821655,1485.349174806862,105.17569212469652
STA238FC,3,43,1396.6589146662927,1669.7173132619212,273.05839859562843
