套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
A03S-1304,AP2,N2,1,6.0,28.298601144113015,22.298601144113015,0.0,3.0,6.0,6.0,6.0,6.0,8.309426000000002,36.60802714411302,0,1
A03S-1274,AP2,N5,2,12.0,37.93377497591521,25.933774975915217,6.0,9.0,12.0,12.0,12.0,12.0,73.45914047619046,111.39291545210567,0,1
A03S-1287,AP2,N2,3,28.298601144113015,62.97299689355172,34.67439574943871,12.0,20.0,23.0,23.0,23.0,28.298601144113015,13.267445158730169,76.24044205228189,1,1
A03S-1297,AP2,N5,4,37.93377497591521,75.02388212678606,37.09010715087085,23.0,26.0,29.0,29.0,29.0,37.93377497591521,69.19989435706562,144.22377648385168,1,1
A03S-1276,AP2,N2,5,62.97299689355172,150.343262566622,87.37026567307028,36.60802714411302,44.60802714411302,47.60802714411302,47.60802714411302,47.60802714411302,62.97299689355172,146.16451186507942,296.5077744317014,0,1
A03S-1296,AP2,N5,6,111.39291545210567,153.3464656057696,41.95355015366393,100.39291545210567,108.39291545210567,111.39291545210567,111.39291545210567,111.39291545210567,111.39291545210567,87.49260912698392,240.83907473275352,0,1
A03S-1293,AP2,N5,7,153.3464656057696,197.005320025673,43.658854419903406,138.22377648385168,141.22377648385168,144.22377648385168,144.22377648385168,144.22377648385168,153.3464656057696,80.5654394689852,277.5707594946582,1,1
A03S-1299,AP2,N2,8,150.343262566622,196.04964373429416,45.706381167672156,70.24044205228189,73.24044205228189,76.24044205228189,76.24044205228189,76.24044205228189,150.343262566622,197.03506522121697,393.08470895551113,1,1
A03S-1286,AP2,N5,9,240.83907473275352,296.5781658477805,55.73909111502698,229.83907473275352,237.83907473275352,240.83907473275352,240.83907473275352,240.83907473275352,240.83907473275352,81.39082547619046,377.96899132397095,0,1
A03S-1295,AP2,N2,10,296.5077744317014,344.4836645557291,47.97589012402768,290.5077744317014,293.5077744317014,296.5077744317014,296.5077744317014,296.5077744317014,296.5077744317014,111.68755447914714,456.17121903487623,0,1
A03S-1288,AP2,N5,11,296.5781658477805,354.8943227148361,58.316156867055604,266.5707594946582,274.5707594946582,277.5707594946582,277.5707594946582,277.5707594946582,296.5781658477805,5.902067122944288,360.7963898377804,1,1
A03S-1301,AP2,N2,12,393.08470895551113,443.1783971443216,50.09368818881049,382.08470895551113,390.08470895551113,393.08470895551113,393.08470895551113,393.08470895551113,393.08470895551113,13.992821890554637,457.17121903487623,1,1
A03S-1300,AP2,N5,13,366.7963898377804,428.5965248369182,61.8001349991378,360.7963898377804,363.7963898377804,366.7963898377804,366.7963898377804,366.7963898377804,366.7963898377804,7.0616121025641405,435.65813693948235,1,1
A03S-1277,AP2,N2,14,459.4200582725267,531.2163743776689,71.79631610514215,448.4200582725267,456.4200582725267,459.4200582725267,459.4200582725267,459.4200582725267,459.4200582725267,24.961416269841266,556.1777906475102,0,1
A03S-1285,AP2,N5,15,428.5965248369182,509.44534994041203,80.84882510349385,371.96899132397095,374.96899132397095,377.96899132397095,377.96899132397095,377.96899132397095,428.5965248369182,30.08200944444434,539.5273593848564,0,1
A03S-1283,AP2,N2,16,531.2163743776689,615.2333868770426,84.01701249937362,459.4200582725267,467.4200582725267,470.4200582725267,470.4200582725267,470.4200582725267,531.2163743776689,5.334123179487165,620.5675100565297,1,1
A03S-1305,AP2,N5,17,509.44534994041203,547.7278930424708,38.28254310205872,470.4200582725267,478.4200582725267,481.4200582725267,481.4200582725267,481.4200582725267,509.44534994041203,38.16636746031736,585.8942605027881,1,1
A03S-1292,AP2,N2,18,615.2333868770426,741.1867159095116,125.95332903246901,555.6116780681118,563.6116780681118,566.6116780681118,566.6116780681118,566.6116780681118,615.2333868770426,86.248746746032,827.4354626555436,0,1
A03S-1294,AP2,N5,19,547.7278930424708,736.0098842607938,188.28199121832304,536.8034197622842,539.8034197622842,542.8034197622842,542.8034197622842,542.8034197622842,547.7278930424708,145.38052444444452,881.3904087052383,0,1
A03S-1303,AP2,N2,20,741.1867159095116,793.9314558455153,52.744739936003725,620.5675100565297,628.5675100565297,631.5675100565297,631.5675100565297,631.5675100565297,741.1867159095116,11.526669641025478,805.4581254865408,1,2
A03S-1284,AP2,N2,21,816.4581254865408,909.4454051450209,92.98727965848019,805.4581254865408,813.4581254865408,816.4581254865408,816.4581254865408,816.4581254865408,816.4581254865408,3.7374680000000353,913.182873145021,1,2
