零件名,套料图名,分段号,齐套优先级,零件类型,释放(min),到半框缓存(min),到齐套区(min)
AP2-FC-1-1P,A03S-1304,AP2,1,large,36.60802714411302,36.60802714411302,36.60802714411302
AP2-FC-1-1S,A03S-1304,AP2,1,large,36.60802714411302,36.60802714411302,36.60802714411302
AP2-818-1S,A03S-1274,AP2,1,small,111.39291545210567,827.7907498163494,1159.429767112403
AP2-821-1P,A03S-1274,AP2,1,small,111.39291545210567,827.7907498163494,1159.429767112403
AP2-821-1S,A03S-1274,AP2,1,small,111.39291545210567,827.7907498163494,1159.429767112403
AP2-823-1P,A03S-1274,AP2,4,small,111.39291545210567,353.6365679906376,1173.554767112403
AP2-823-1S,A03S-1274,AP2,4,small,111.39291545210567,353.6365679906376,1173.554767112403
AP2-826-1P,A03S-1274,AP2,4,small,111.39291545210567,353.6365679906376,1173.554767112403
AP2-826-1S,A03S-1274,AP2,4,small,111.39291545210567,353.6365679906376,1173.554767112403
AP2-829-1S,A03S-1274,AP2,4,small,111.39291545210567,353.6365679906376,1173.554767112403
AP2-831-1P,A03S-1274,AP2,4,small,111.39291545210567,353.6365679906376,1173.554767112403
AP2-831-1S,A03S-1274,AP2,4,small,111.39291545210567,353.6365679906376,1173.554767112403
AP2-832-1P,A03S-1274,AP2,4,small,111.39291545210567,353.6365679906376,1173.554767112403
AP2-832-1S,A03S-1274,AP2,4,small,111.39291545210567,353.6365679906376,1173.554767112403
AP2-830-1P,A03S-1274,AP2,5,small,111.39291545210567,958.4045951159894,1179.929767112403
AP2-830-1S,A03S-1274,AP2,5,small,111.39291545210567,958.4045951159894,1179.929767112403
AP2-833-1P,A03S-1274,AP2,5,small,111.39291545210567,958.4045951159894,1179.929767112403
AP2-833-1S,A03S-1274,AP2,5,small,111.39291545210567,958.4045951159894,1179.929767112403
AP2-F2-3S-5BS,A03S-1287,AP2,1,small,76.24044205228189,67.3964927665676,1159.429767112403
AP2-F6-2P-7BP,A03S-1287,AP2,1,small,76.24044205228189,794.4229708301466,1159.429767112403
TA10-F9-1SP-3SP,A03S-1287,AP2,5,small,76.24044205228189,830.1854626555436,1179.929767112403
AP2-F5-1P-1P,A03S-1287,AP2,1,large,76.24044205228189,68.59598304739788,68.59598304739788
AP2-F5-2S-1S,A03S-1287,AP2,1,large,76.24044205228189,68.59598304739788,68.59598304739788
AP2-F6-3S-4BS,A03S-1297,AP2,1,small,144.22377648385168,827.7907498163494,1159.429767112403
AP2-FB-2P-7BP,A03S-1297,AP2,1,small,144.22377648385168,827.7907498163494,1159.429767112403
AP2-FB-2P-8BP,A03S-1297,AP2,1,small,144.22377648385168,840.7854626555436,1159.429767112403
AP2-FB-3S-10BS,A03S-1297,AP2,1,small,144.22377648385168,840.7854626555436,1159.429767112403
AP2-FB-3S-3BS,A03S-1297,AP2,1,small,144.22377648385168,827.7907498163494,1159.429767112403
AP2-FB-3S-6BS,A03S-1297,AP2,1,small,144.22377648385168,827.7907498163494,1159.429767112403
AP2-G2-2-1P,A03S-1297,AP2,4,large,144.22377648385168,81.29635433191426,81.29635433191426
AP2-G2-2-1S,A03S-1297,AP2,4,large,144.22377648385168,81.29635433191426,81.29635433191426
AP2-818-1P,A03S-1276,AP2,1,small,296.5077744317014,794.4229708301466,1159.429767112403
AP2-AG-1-3BP,A03S-1276,AP2,1,small,296.5077744317014,794.4229708301466,1159.429767112403
AP2-CG-1B1-1P,A03S-1276,AP2,1,small,296.5077744317014,794.4229708301466,1159.429767112403
