分段号,齐套优先级,零件数,首件到齐套区,齐套完成,齐套跨度(min)
AP2,1,123,36.60802714411302,862.9366651019898,826.3286379578767
AP2,2,54,115.56377103079802,1048.2020384056598,932.6382673748617
AP2,3,35,258.82348132483594,885.2700917686565,626.4466104438205
AP2,4,19,111.39447302479013,385.3844286389975,273.98995561420736
AP2,5,60,566.3464829103692,1172.868917437354,606.5224345269847
BN1,1,59,2085.849352922133,2826.6159275851255,740.7665746629923
BN1,2,39,2176.6713379894727,2945.7795544287683,769.1082164392956
BN1,3,20,2176.6713379894727,3170.684632242961,994.0132942534883
BN1,4,24,3131.8416929085574,3268.023230576294,136.1815376677364
BN1,5,14,3217.594200521605,3274.398230576294,56.80403005468861
BN1,6,72,2255.2737630887536,3527.420421086344,1272.1466579975904
BN1,7,53,2326.9408890772315,3573.2652777530107,1246.3243886757791
BN1,8,23,2945.7795544287683,3492.24082194532,546.4612675165517
BN1,9,32,2426.4621290772316,3581.7862029911057,1155.3240739138741
DC12,1,32,1241.0518202994356,1343.0101224544483,101.95830215501269
DC12,2,51,1167.005641109319,1383.2606150643776,216.25497395505863
DC12,3,44,1212.2625321410649,1531.9208385581678,319.65830641710295
DC12,4,21,1110.33300382383,1625.0441487595026,514.7111449356726
STA238FC,1,56,1641.5490053356116,1949.2289175879173,307.6799122523057
STA238FC,2,36,1645.8824053356116,2084.632998535261,438.7505931996493
STA238FC,3,43,1943.675428528493,2112.831401989473,169.1559734609798
