套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
A03S-1304,AP2,N2,1,6.0,28.298601144113015,22.298601144113015,0.0,3.0,6.0,6.0,6.0,6.0,8.309426000000002,36.60802714411302,0,1
A03S-1289,AP2,N5,2,12.0,108.88188995387495,96.88188995387495,6.0,9.0,12.0,12.0,12.0,12.0,6.6818810769230765,115.56377103079802,0,2
A03S-1274,AP2,N2,3,28.298601144113015,54.232376120028235,25.933774975915217,12.0,20.0,23.0,23.0,23.0,28.298601144113015,73.45914047619046,127.69151659621869,1,1
A03S-1287,AP2,N2,4,54.232376120028235,88.90677186946695,34.67439574943871,36.60802714411302,44.60802714411302,47.60802714411302,47.60802714411302,47.60802714411302,54.232376120028235,52.05218988548188,140.95896175494883,0,1
A03S-1297,AP2,N2,5,127.69151659621869,164.78162374708955,37.09010715087085,116.69151659621869,124.69151659621869,127.69151659621869,127.69151659621869,127.69151659621869,127.69151659621869,32.824261031746005,197.60588477883556,1,1
A03S-1301,AP2,N5,6,108.88188995387495,158.97557814268544,50.09368818881049,23.0,26.0,29.0,29.0,29.0,108.88188995387495,5.2416611282051235,164.21723927089056,1,1
A03S-1296,AP2,N2,7,164.78162374708955,206.7351739007535,41.95355015366393,129.95896175494883,137.95896175494883,140.95896175494883,140.95896175494883,140.95896175494883,164.78162374708955,84.74260912698392,291.4777830277374,0,1
A03S-1293,AP2,N5,8,158.97557814268544,202.63443256258884,43.658854419903406,140.95896175494883,148.95896175494883,151.95896175494883,151.95896175494883,151.95896175494883,158.97557814268544,36.73168476190472,239.36611732449356,0,1
A03S-1299,AP2,N2,9,206.7351739007535,252.44155506842566,45.706381167672156,191.60588477883556,194.60588477883556,197.60588477883556,197.60588477883556,197.60588477883556,206.7351739007535,135.61316248312147,388.0547175515471,1,1
A03S-1295,AP2,N5,10,202.63443256258884,250.6103226866165,47.97589012402768,171.05409595221775,179.05409595221775,182.05409595221775,182.05409595221775,182.05409595221775,202.63443256258884,65.83651007936513,316.44683276598164,1,1
