零件名,套料图名,分段号,齐套优先级,零件类型,释放(min),到半框缓存(min),到齐套区(min)
AP2-FC-1-1P,A03S-1304,AP2,1,large,36.60802714411302,36.60802714411302,36.60802714411302
AP2-FC-1-1S,A03S-1304,AP2,1,large,36.60802714411302,36.60802714411302,36.60802714411302
AP2-F0-1-1P,A03S-1289,AP2,2,large,115.56377103079802,115.56377103079802,115.56377103079802
AP2-F0-1-1S,A03S-1289,AP2,2,large,115.56377103079802,115.56377103079802,115.56377103079802
AP2-F1-2-1P,A03S-1289,AP2,2,large,115.56377103079802,115.56377103079802,115.56377103079802
AP2-F1-2-1S,A03S-1289,AP2,2,large,115.56377103079802,115.56377103079802,115.56377103079802
AP2-818-1S,A03S-1274,AP2,1,small,127.69151659621869,823.9660339782316,1175.618917437354
AP2-821-1P,A03S-1274,AP2,1,small,127.69151659621869,823.9660339782316,1175.618917437354
AP2-821-1S,A03S-1274,AP2,1,small,127.69151659621869,823.9660339782316,1175.618917437354
AP2-823-1P,A03S-1274,AP2,4,small,127.69151659621869,111.39447302479013,1189.743917437354
AP2-823-1S,A03S-1274,AP2,4,small,127.69151659621869,111.39447302479013,1189.743917437354
AP2-826-1P,A03S-1274,AP2,4,small,127.69151659621869,111.39447302479013,1189.743917437354
AP2-826-1S,A03S-1274,AP2,4,small,127.69151659621869,111.39447302479013,1189.743917437354
AP2-829-1S,A03S-1274,AP2,4,small,127.69151659621869,111.39447302479013,1189.743917437354
AP2-831-1P,A03S-1274,AP2,4,small,127.69151659621869,111.39447302479013,1189.743917437354
AP2-831-1S,A03S-1274,AP2,4,small,127.69151659621869,111.39447302479013,1189.743917437354
AP2-832-1P,A03S-1274,AP2,4,small,127.69151659621869,111.39447302479013,1189.743917437354
AP2-832-1S,A03S-1274,AP2,4,small,127.69151659621869,111.39447302479013,1189.743917437354
AP2-830-1P,A03S-1274,AP2,5,small,127.69151659621869,1046.8194081175036,1196.118917437354
AP2-830-1S,A03S-1274,AP2,5,small,127.69151659621869,1046.8194081175036,1196.118917437354
AP2-833-1P,A03S-1274,AP2,5,small,127.69151659621869,1046.8194081175036,1196.118917437354
AP2-833-1S,A03S-1274,AP2,5,small,127.69151659621869,1046.8194081175036,1196.118917437354
AP2-F2-3S-5BS,A03S-1287,AP2,1,small,140.95896175494883,132.11501246923456,1175.618917437354
AP2-F6-2P-7BP,A03S-1287,AP2,1,small,140.95896175494883,823.9660339782316,1175.618917437354
TA10-F9-1SP-3SP,A03S-1287,AP2,5,small,140.95896175494883,1046.8194081175036,1196.118917437354
AP2-F5-1P-1P,A03S-1287,AP2,1,large,140.95896175494883,94.52975802331311,94.52975802331311
AP2-F5-2S-1S,A03S-1287,AP2,1,large,140.95896175494883,94.52975802331311,94.52975802331311
AP2-F6-3S-4BS,A03S-1297,AP2,1,small,197.60588477883556,823.9660339782316,1175.618917437354
AP2-FB-2P-7BP,A03S-1297,AP2,1,small,197.60588477883556,823.9660339782316,1175.618917437354
AP2-FB-2P-8BP,A03S-1297,AP2,1,small,197.60588477883556,180.58310247724827,1175.618917437354
AP2-FB-3S-10BS,A03S-1297,AP2,1,small,197.60588477883556,185.69944287407367,1175.618917437354
AP2-FB-3S-3BS,A03S-1297,AP2,1,small,197.60588477883556,823.9660339782316,1175.618917437354
AP2-FB-3S-6BS,A03S-1297,AP2,1,small,197.60588477883556,823.9660339782316,1175.618917437354
AP2-G2-2-1P,A03S-1297,AP2,4,large,197.60588477883556,171.05409595221775,171.05409595221775
