零件名,工序,资源,开始(min),结束(min),时长(min)
A03S-1304,天车空驶（胎架到原料区）,天车,0.0,3.0,3.0
A03S-1304,天车吊运（原料区到胎架）,天车,3.0,6.0,3.0
AP2-FC-1-1P,自由边打磨,人工打磨N21,28.298601144113015,29.95331416975404,1.6547130256410263
A03S-1289,天车空驶（胎架到原料区）,天车,6.0,9.0,3.0
A03S-1289,天车吊运（原料区到胎架）,天车,9.0,12.0,3.0
AP2-FC-1-1S,自由边打磨,人工打磨N21,29.95331416975404,31.608027144113017,1.6547129743589757
A03S-1304切割后的大件,天车吊运（胎架到成品区）,天车,31.608027144113017,36.60802714411302,5.0
AP2-F0-1-1P,自由边打磨,人工打磨N51,108.88188995387495,108.93755138977238,0.05566143589743433
A03S-1274,天车空驶（胎架到原料区）,天车,12.0,20.0,8.0
A03S-1274,天车吊运（原料区到胎架）,天车,20.0,23.0,3.0
AP2-F0-1-1S,自由边打磨,人工打磨N51,108.93755138977238,109.44442959490058,0.5068782051282028
AP2-F1-2-1P,自由边打磨,人工打磨N51,109.44442959490058,110.13801108208007,0.6935814871794861
AP2-F1-2-1S,自由边打磨,人工打磨N51,110.13801108208007,110.56377103079802,0.4257599487179533
A03S-1289切割后的大件,天车吊运（胎架到成品区）,天车,110.56377103079802,115.56377103079802,5.0
AP2-818-1S,分拣,自动分拣N21,54.232376120028235,55.81237612002823,1.5799999999999983
AP2-818-1S,自动打磨,自动打磨N21,55.81237612002823,57.7649173898695,1.9525412698412694
AP2-818-1S,桁架码垛,自动分拣N21,57.7649173898695,58.934917389869504,1.1700000000000017
AP2-821-1P,分拣,自动分拣N21,58.934917389869504,60.5149173898695,1.5799999999999983
AP2-821-1P,自动打磨,自动打磨N21,60.5149173898695,62.3108154851076,1.795898095238094
AP2-821-1P,桁架码垛,自动分拣N21,62.3108154851076,63.4808154851076,1.1700000000000017
AP2-821-1S,分拣,自动分拣N21,63.4808154851076,65.0608154851076,1.5799999999999983
AP2-821-1S,自动打磨,自动打磨N21,65.0608154851076,66.85671485018696,1.7958993650793644
AP2-821-1S,桁架码垛,自动分拣N21,66.85671485018696,68.02671485018696,1.1700000000000017
AP2-823-1P,分拣,自动分拣N21,68.02671485018696,69.60671485018696,1.5799999999999983
AP2-823-1P,自动打磨,自动打磨N21,69.60671485018696,71.41842421526633,1.8117093650793663
AP2-823-1P,桁架码垛,自动分拣N21,71.41842421526633,72.58842421526633,1.1700000000000017
AP2-823-1S,分拣,自动分拣N21,72.58842421526633,74.16842421526633,1.5799999999999983
AP2-823-1S,自动打磨,自动打磨N21,74.16842421526633,75.9801335803457,1.8117093650793663
AP2-823-1S,桁架码垛,自动分拣N21,75.9801335803457,77.1501335803457,1.1700000000000017
AP2-826-1P,分拣,自动分拣N21,77.1501335803457,78.7301335803457,1.5799999999999983
AP2-826-1P,自动打磨,自动打磨N21,78.7301335803457,80.48053834225045,1.7504047619047611
AP2-826-1P,桁架码垛,自动分拣N21,80.48053834225045,81.65053834225046,1.1700000000000017
AP2-826-1S,分拣,自动分拣N21,81.65053834225046,83.23053834225045,1.5799999999999983
AP2-826-1S,自动打磨,自动打磨N21,83.23053834225045,84.98094310415522,1.7504047619047611
AP2-826-1S,桁架码垛,自动分拣N21,84.98094310415522,86.15094310415522,1.1700000000000017
AP2-829-1S,分拣,自动分拣N21,86.15094310415522,87.73094310415522,1.5799999999999983
AP2-829-1S,自动打磨,自动打磨N21,87.73094310415522,89.68348453272664,1.952541428571422
AP2-829-1S,桁架码垛,自动分拣N21,89.68348453272664,90.85348453272664,1.1700000000000017
AP2-831-1P,分拣,自动分拣N21,90.85348453272664,92.43348453272664,1.5799999999999983
AP2-831-1P,自动打磨,自动打磨N21,92.43348453272664,94.12000143748854,1.686516904761902
AP2-831-1P,桁架码垛,自动分拣N21,94.12000143748854,95.29000143748854,1.1700000000000017
AP2-831-1S,分拣,自动分拣N21,95.29000143748854,96.87000143748854,1.5799999999999983
AP2-831-1S,自动打磨,自动打磨N21,96.87000143748854,98.55660945336156,1.68660801587302
AP2-831-1S,桁架码垛,自动分拣N21,98.55660945336156,99.72660945336156,1.1700000000000017
AP2-832-1P,分拣,自动分拣N21,99.72660945336156,101.30660945336156,1.5799999999999983
AP2-832-1P,自动打磨,自动打磨N21,101.30660945336156,103.01549548510759,1.708886031746033
AP2-832-1P,桁架码垛,自动分拣N21,103.01549548510759,104.1854954851076,1.1700000000000017
AP2-832-1S,分拣,自动分拣N21,104.1854954851076,105.76549548510759,1.5799999999999983
AP2-832-1S,自动打磨,自动打磨N21,105.76549548510759,107.47447302479013,1.708977539682536
AP2-832-1S,桁架码垛,自动分拣N21,107.47447302479013,108.64447302479013,1.1700000000000017
AP2-830-1P,分拣,自动分拣N21,108.64447302479013,110.22447302479013,1.5799999999999983
AP2-830-1P,自动打磨,自动打磨N21,110.22447302479013,111.90680802479012,1.6823349999999948
AP2-830-1P,桁架码垛,自动分拣N21,111.90680802479012,113.07680802479013,1.1700000000000017
AP2-830-1S,分拣,自动分拣N21,113.07680802479013,114.65680802479012,1.5799999999999983
AP2-830-1S,自动打磨,自动打磨N21,114.65680802479012,116.33914302479012,1.6823349999999948
AP2-830-1S,桁架码垛,自动分拣N21,116.33914302479012,117.50914302479012,1.1700000000000017
AP2-833-1P,分拣,自动分拣N21,117.50914302479012,119.08914302479012,1.5799999999999983
AP2-833-1P,自动打磨,自动打磨N21,119.08914302479012,121.69367294542504,2.604529920634917
AP2-833-1P,桁架码垛,自动分拣N21,121.69367294542504,122.86367294542504,1.1700000000000017
AP2-833-1S,分拣,自动分拣N21,122.86367294542504,124.44367294542504,1.5799999999999983
AP2-833-1S,自动打磨,自动打磨N21,124.44367294542504,126.52151659621869,2.0778436507936533
AP2-833-1S,桁架码垛,自动分拣N21,126.52151659621869,127.69151659621869,1.1700000000000017
A03S-1287,天车空驶（胎架到原料区）,天车,36.60802714411302,44.60802714411302,8.0
A03S-1287,天车吊运（原料区到胎架）,天车,44.60802714411302,47.60802714411302,3.0
AP2-F2-3S-5BS,分拣,自动分拣N21,127.69151659621869,129.2715165962187,1.5800000000000125
AP2-F2-3S-5BS,自动打磨,自动打磨N21,129.2715165962187,130.94831246923457,1.6767958730158625
AP2-F2-3S-5BS,桁架至坡口工作站,自动分拣N21,130.94831246923457,132.11501246923456,1.1666999999999916
AP2-F5-1P-1P,自由边打磨,人工打磨N21,88.90677186946695,89.20137299767208,0.2946011282051302
AP2-F5-2S-1S,自由边打磨,人工打磨N21,89.20137299767208,89.52975802331311,0.3283850256410261
AP2-F6-2P-7BP,分拣,自动分拣N21,132.11501246923456,133.69501246923457,1.5800000000000125
AP2-F6-2P-7BP,自动打磨,自动打磨N21,133.69501246923457,135.36698715177425,1.671974682539684
AP2-F6-2P-7BP,桁架码垛,自动分拣N21,135.36698715177425,136.53698715177424,1.1699999999999875
TA10-F9-1SP-3SP,分拣,自动分拣N21,136.53698715177424,138.11698715177425,1.5800000000000125
TA10-F9-1SP-3SP,自动打磨,自动打磨N21,138.11698715177425,139.78896175494884,1.67197460317459
TA10-F9-1SP-3SP,桁架码垛,自动分拣N21,139.78896175494884,140.95896175494883,1.1699999999999875
A03S-1287切割后的大件,天车吊运（胎架到成品区）,天车,89.52975802331311,94.52975802331311,5.0
A03S-1297,天车空驶（胎架到原料区）,天车,116.69151659621869,124.69151659621869,8.0
A03S-1297,天车吊运（原料区到胎架）,天车,124.69151659621869,127.69151659621869,3.0
AP2-F6-3S-4BS,分拣,自动分拣N21,164.78162374708955,166.36162374708957,1.5800000000000125
